Sr. No.,Brand,Category,Product Name,ASIN,Product URL,Sales Frequency,Title,Description,Bulletpoints(3),Grade,Spell check,Dimensions details,Sentence case,A+ content,Grade2,Main image,Additional images,Infographics,Lifestyles,Video,A+ Content3,Info/lifestyle Total,Total Images,Info present,Lifestyle present,Video present or not,A+ content4,Image quality,Product information,Remark,Score,Grade5,Final Grade,Amazon USA,Amazon UK,Amazon CA,Amazon MX,Amazon Germany,Amazon France,Amazon Italy,Amazon Spain,Amazon Netherlands,Amazon Belgium,Amazon Sweden ,Amazon Poland,Amazon Australia,Amazon Japan,Amazon Singapore,Amazon UAE
11,Mush,Home and Kitchen,"Mush bamboo Bath Towel - Ultra Soft, Highly Absorbent & Odour Resistant Towel for Children & Adults | Full size: 29 x 59 inches (Cream)",B07CW9WNLP,https://www.amazon.in/dp/B07CW9WNLP?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,1,B,1,2,0,5,0,1,5,8,0,1,0,1,acceptable,available,0,74%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3,Grey )",B08Y365QSF,https://www.amazon.in/dp/B08Y365QSF?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,1,B,1,5,0,2,0,1,2,8,0,1,0,1,acceptable,available,no color consistency,74%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Pink)",B08K8Y4WF7,https://www.amazon.in/dp/B08K8Y4WF7?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,1,B,1,3,1,4,0,0,5,9,1,1,0,0,acceptable,available,scale shot is missing in maximum SKUs,70%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM  (Set of 2,Space Grey)",B0823GKN83,https://www.amazon.in/dp/B0823GKN83?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,1,0,B,1,6,1,0,0,1,1,8,1,0,0,1,acceptable,available,0,74%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Mush,Home and Kitchen," Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, Sky blue)",B07P1381QZ,https://www.amazon.in/dp/B07P1381QZ?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,2,0,6,0,1,6,9,0,1,0,1,acceptable,available,no color consistency,80%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Grey & White)",B09F5XLT7G,https://www.amazon.in/dp/B09F5XLT7G?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,0,C,1,2,1,5,0,0,6,9,1,1,0,0,acceptable,available,0,70%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM  (Set of 2,Golden Brown)",B07CWCGF26,https://www.amazon.in/dp/B07CWCGF26?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,1,1,A,1,2,0,4,0,1,4,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, Green, Pink,Cream)",B07NY36LQR,https://www.amazon.in/dp/B07NY36LQR?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,1,B,1,2,0,5,0,1,5,8,0,1,0,1,acceptable,available,0,74%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Mush,Home and Kitchen,"Mush bamboo Bath Towel - Ultra Soft, Highly Absorbent & Odour Resistant Towel for Children & Adults | Full size: 29 x 59 inches (Golden Brown)",B07CWBTB4K,https://www.amazon.in/dp/B07CWBTB4K?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,1,0,5,0,1,5,7,0,1,0,1,acceptable,available,0,69%,B,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, Sky blue, Golden Brown,Cream)",B07P12ZVDX,https://www.amazon.in/dp/B07P12ZVDX?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,1,0,5,0,1,5,7,0,1,0,1,acceptable,available,0,69%,B,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3,Golden Brown)",B07P12ZDYF,https://www.amazon.in/dp/B07P12ZDYF?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,1,1,A,1,2,0,5,0,1,5,8,0,1,0,1,acceptable,available,0,74%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM  (Set of 2,White)",B07STFB7XD,https://www.amazon.in/dp/B07STFB7XD?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,1,1,A,1,3,0,5,0,1,5,9,0,1,0,1,acceptable,available,0,80%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Navy Blue)",B07SVFGHC1,https://www.amazon.in/dp/B07SVFGHC1?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,1,1,A,1,1,0,7,0,1,7,9,0,1,0,1,acceptable,available,can add more information,80%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Assorted Set of 7 : Green, Pink, Golden Brown, Sky blue, Cream,Navy blue & White)",B07R6DDL5C,https://www.amazon.in/dp/B07R6DDL5C?ref=myi_title_dp&th=1,High,1,1,1,A,0-B,1,1,1,B,1,0,0,6,0,1,6,7,0,1,0,1,acceptable,available,main image is blur,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, Sky blue,Navy blue & White)",B08P4XF1VP,https://www.amazon.in/dp/B08P4XF1VP?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,1,1,A,1,2,1,5,0,1,6,9,1,1,0,1,acceptable,available,0,90%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Navy Blue & Sky Blue)",B07STFB7XD,https://www.amazon.in/dp/B07STFB7XD?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,1,1,A,1,3,0,5,0,1,5,9,0,1,0,1,acceptable,available,0,80%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Sky Blue & Pink)",B08K8Y4WF7,https://www.amazon.in/dp/B08K8Y4WF7?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,3,1,4,0,0,5,9,1,1,0,0,acceptable,available,scale shot is missing in maximum SKUs,70%,B,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Mush,Home and Kitchen,"Mush Designer Bamboo Hand Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor(Set of 2,Emerald Blue)",B09XQX4KJW,https://www.amazon.in/dp/B09XQX4KJW?ref=myi_title_dp&th=1,High,0,1,1,B,1,1,1,1,A,1,0,0,5,0,1,5,6,0,1,0,1,acceptable,available,0,63%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Navy Blue & White)",B08P5HD75Q,https://www.amazon.in/dp/B08P5HD75Q?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,1,0,5,0,1,5,7,0,1,0,1,acceptable,available,0,69%,B,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3,Pink)",B07NY34DJ1,https://www.amazon.in/dp/B07NY34DJ1?ref=myi_title_dp&th=1,High,1,1,1,A,0-B,1,1,1,B,1,5,0,3,0,1,3,9,0,1,0,1,acceptable,available,0,80%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Mush,Home and Kitchen,"Mush bamboo Bath Towel - Ultra Soft, Highly Absorbent & Odour Resistant Towel for Children & Adults | Full size: 29 x 59 inches (White)",B07S6P8652,https://www.amazon.in/dp/B07S6P8652?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,1,B,1,0,0,7,0,1,7,8,0,1,0,1,acceptable,available,0,74%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, Grey,Pink,Green)",B09F5W1HV6,https://www.amazon.in/dp/B09F5W1HV6?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,3,0,2,0,1,2,6,0,1,0,1,acceptable,available,0,63%,B,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Sky Blue & White)",B08P5JGJ5D,https://www.amazon.in/dp/B08P5JGJ5D?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,4,0,3,0,1,3,8,0,1,0,1,acceptable,available,0,74%,B,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Mush,Home and Kitchen,"Mush Designer Bamboo Face Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor(Set of 3,Emerald Blue)",B09XN9LHQQ,https://www.amazon.in/dp/B09XN9LHQQ?ref=myi_title_dp&th=1,Medium,1,1,1,A,1,1,0-B,0,C,1,0,0,6,0,1,6,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM  (Set of 2,Olive Green)",B07CWBDFSK,https://www.amazon.in/dp/B07CWBDFSK?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,0-B,1,B,1,2,0,3,0,1,3,6,0,1,0,1,acceptable,available,0,63%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Mush,Home and Kitchen,"Mush Designer Bamboo Hand Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor(Set of 2,Pearl White)",B09G36WZF3,https://www.amazon.in/dp/B09G36WZF3?ref=myi_title_dp&th=1,High,0,1,0,C,1,1,1,1,A,1,0,0,6,0,1,6,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Mush,Home and Kitchen,"Mush Designer Bamboo Hand Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor(Set of 2,Ruby Red)",B09XN9T786,https://www.amazon.in/dp/B09XN9T786?ref=myi_title_dp&th=1,High,0,1,1,B,1,1,1,1,A,1,0,0,7,0,1,7,8,0,1,0,1,acceptable,available,0,74%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Mush,Home and Kitchen,"Mush Designer Bamboo Face Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor(Set of 3,Royal Beige)",B09XN7WD3Z,https://www.amazon.in/dp/B09XN7WD3Z?ref=myi_title_dp&th=1,Medium,1,1,1,A,1,1,1,0,B,1,0,0,6,0,1,6,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Mush,Home and Kitchen,"Mush Designer Bamboo Bath Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Deco(Emerald Blue,1)",B09XN7KHVF,https://www.amazon.in/dp/B09XN7KHVF?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,0,B,1,0,0,7,0,0,7,8,0,1,0,0,acceptable,available,0,54%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Sky Blue)",B07KKHC2VD,https://www.amazon.in/dp/B07KKHC2VD?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,1,1,A,1,4,0,2,0,1,2,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, Green,Navy blue,White)",B07WD8JL8S,https://www.amazon.in/dp/B07WD8JL8S?ref=myi_title_dp&th=1,High,1,1,1,A,0-B,1,1,1,B,1,1,1,5,0,1,6,8,1,1,0,1,acceptable,available,0,84%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Mush,Home and Kitchen,"Mush Designer Bamboo Hand Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor(Set of 2,Royal Beige)",B07NY36KRZ,https://www.amazon.in/dp/B07NY36KRZ?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,0,B,1,4,0,3,0,0,3,8,0,1,0,0,acceptable,available,0,54%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, Cream)",B09XN7WD3Z,https://www.amazon.in/dp/B09XN7WD3Z?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,0,B,1,0,0,6,0,1,6,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Mush,Home and Kitchen,"Mush Designer Bamboo Bath Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor(Royal Beige,1)",B09XN6J7DY,https://www.amazon.in/dp/B09XN6J7DY?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,0,B,1,0,0,6,0,0,6,7,0,1,0,0,acceptable,available,0,49%,C,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Mush,Home and Kitchen,"Mush Designer Bamboo Bath Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor((Ruby Red,1)",B09XN7X8L1,https://www.amazon.in/dp/B09XN7X8L1?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,0,0,6,0,1,6,7,0,1,0,1,acceptable,available,0,69%,B,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Mush,Home and Kitchen,"Mush Designer Bamboo Bath Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor(Pearl White,1)",B09XN86Y57,https://www.amazon.in/dp/B09XN86Y57?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,0,C,1,0,0,7,0,0,7,8,0,1,0,0,acceptable,available,0,54%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Mush,Home and Kitchen,"Mush Designer Bamboo Face Towel |Ultra Soft, Highly Absorbent & Odour Resistant Towel for Bath, Beach, Pool, Travel, Spa & Home Decor(Set of 3,Ruby Red)",B09G37TPTR,https://www.amazon.in/dp/B09G37TPTR?ref=myi_title_dp&th=1,Medium,0,1,0,C,1,1,1,0,B,1,0,0,6,0,1,6,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, Green, Pink, White)",B08P4X9Y9B,https://www.amazon.in/dp/B08P4X9Y9B?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,1,1,6,0,1,7,9,1,1,0,1,acceptable,available,0,90%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM  (Set of 2,Cream & Olive Green)",B08K8WVL5L,https://www.amazon.in/dp/B08K8WVL5L?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,2,0,6,0,1,6,9,0,1,0,1,acceptable,available,0,80%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM  (Set of 2,Cream)",B07CWBZWFJ,https://www.amazon.in/dp/B07CWBZWFJ?ref=myi_title_dp&th=1,High,1,1,0,B,1,1,1,1,A,1,1,0,5,0,1,5,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, White)",B07SK8JNT7,https://www.amazon.in/dp/B07SK8JNT7?ref=myi_title_dp&th=1,High,1,1,1,A,0-B,1,1,1,B,1,1,0,5,0,1,5,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Strauss,"Sports, Fitness & Outdoors","Strauss Bicycle Flash Tail Light with Laser, (Black)",B07GKZZYNT,https://www.amazon.in/dp/B07GKZZYNT?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,1,5,1,1,1,6,8,1,1,1,1,acceptable,available,0,94%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Strauss,"Sports, Fitness & Outdoors","Strauss Bicycle Saddle Seat Cover, (Black)",B075M9WHY5,https://www.amazon.in/dp/B075M9WHY5?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,0,5,1,1,1,6,7,1,1,1,1,acceptable,available,0,89%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Strauss,"Sports, Fitness & Outdoors","Strauss Adjustable Skipping Rope, (Grey)",B07N19MQDW,https://www.amazon.in/dp/B07N19MQDW?ref=myi_title_dp&th=1,Medium,1,1,1,A,0-B,1,1,1,B,1,1,6,1,2,1,7,9,1,1,1,1,acceptable,available,0,100%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Strauss,"Sports, Fitness & Outdoors","Strauss Adjustable Skipping Rope, (Blue/Grey)",B07QFVW623,https://www.amazon.in/dp/B07QFVW623?ref=myi_title_dp&th=1,Medium,1,1,1,A,0-B,1,1,1,B,1,2,5,1,3,1,6,9,1,1,1,1,acceptable,available,0,100%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Strauss,"Sports, Fitness & Outdoors","Strauss Wrist Support, Free Size (Black)",B014PIG72M,https://www.amazon.in/dp/B014PIG72M?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,0,5,1,1,1,6,7,1,1,1,1,acceptable,available,0,89%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Strauss,"Sports, Fitness & Outdoors",Strauss Bicycle Solar Tail Light,B07DHKH4XD,https://www.amazon.in/dp/B07DHKH4XD?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,0,3,1,1,1,4,5,1,1,1,1,acceptable,available,0,78%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Strauss,"Sports, Fitness & Outdoors","Strauss Yoga Foam Roller, 45 CM, (Black)",B07QGZPDLK,https://www.amazon.in/dp/B07QGZPDLK?ref=myi_title_dp&th=1,Medium,1,1,1,A,1,1,1,1,A,1,0,7,1,0,1,8,9,1,1,0,1,acceptable,available,0,90%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Strauss,"Sports, Fitness & Outdoors","Strauss  Yoga Mat, 8 mm, (Purple)",B07QGZN74S,https://www.amazon.in/dp/B07QGZN74S?ref=myi_title_dp&th=1,Medium,1,1,1,A,1,1,1,1,A,1,0,5,1,1,1,6,7,1,1,1,1,acceptable,available,0,89%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
